station,he_loop,lift,pids
Ringwood East,No,No,No
Ripponlea,No,No,Dot Matrix
Royal Park,No,No,No
Sandown Park,No,No,No
South Kensington,No,No,No
South Yarra,No,No,Dot Matrix
Southern Cross,No,Yes,LCD
Stony Point,No,No,No
Sunbury,No,No,Dot Matrix
Surrey Hills,No,No,Dot Matrix
Tecoma,No,No,No
Thomastown,Yes,Yes,Dot Matrix
Victoria Park,No,No,Dot Matrix
West Footscray,Yes,Yes,Dot Matrix
Westgarth,No,No,LCD
Williamstown,No,No,Dot Matrix
Windsor,No,No,Dot Matrix
Yarraman,No,No,No
Yarraville,No,No,LCD
Coolaroo,Yes,Yes,Dot Matrix
Lynbrook,Yes,No,Dot Matrix
